air, 1, 395220305.97027737,  510849274.866844,  519188824.742682,  402030771.5348456,  417225001.69849867,  427941065.3449999,  353927641.8587457,  279132825.9528727,  177642994.84239754,  83889179.8544046

air, 2, 164989152.8244064,  156294800.76343346,  111469392.95353925,  130591468.15314955,  153110874.55093095,  159274517.34097242,  112615065.89311439,  132859930.21006674,  119650808.32015482,  12952552.283295307

air, 3, 216842118.951037,  281343199.7202893,  337845938.3353031,  351502026.24993217,  347397853.1772724,  367247957.27713627,  389685138.506873,  372749921.1658534,  351976866.9997259,  358462680.1923653

concrete, 1, 419465971.12023115,  398060835.0438803,  384250116.7336973,  383918246.551361,  396968675.3733863,  376861353.795286,  210518995.64245415,  91131443.8925785,  232825394.88474667,  357458313.52679276

concrete, 2, 413636238.8248404,  401871229.1517741,  436005503.0956766,  430372317.143601,  379557156.92353815,  405055115.4637965,  249196008.24563777,  112595243.45891145,  316628670.3377391,  410453918.926179
concrete, 3, 469242198.68521553,  392751349.5757826,  328193581.30614287,  276258671.1293615,  121912920.04261898,  79916637.3733672,  305501067.08200717,  280703947.02974683,  342104453.6601286,  343650612.4232288

glass, 1, 315676373.2756298,  151722575.2126242,  198749036.81086788,  427688676.04037213,  419241975.4898259,  406695179.3596181,  437146759.5504115,  394576382.0145865,  425170063.986089,  414752730.438477
glass, 2, 441027241.0077504,  430504341.4019159,  446629726.67581826,  450423689.1427522,  442079648.650176,  404488465.437672,  477074884.78116465,  507449887.324741,  384383781.866006,  149590180.32494235

glass, 3, 465142716.2611989,  449110180.4671715,  445278232.74583715,  490698430.2351241,  487590277.5867477,  513366681.7364115,  436081376.8913886,  445305786.60728145,  385949109.00436324,  143077141.05172753
human, 1, 386007860.710013,  363488071.7511438,  258974292.61328682,  112291255.90078694,  149390967.283573,  369323770.7381144,  349952761.64846385,  361409444.86348784,  262524374.16542852,  345416156.98133886

human, 2, 215146463.52859876,  93581675.289127,  203755512.95427075,  368141887.95408744,  372915588.9551265,  339952076.9031548,  319091462.1919563,  257145771.2147622,  200492381.84684807,  343110516.158461

human, 3, 316837688.213367,  202029914.51142916,  184652273.98366654,  291316028.79214513,  331778316.460538,  177522729.612434,  208709070.26347223,  279739132.1523753,  282445113.68887514,  286822140.87038356

